label,url
0,http://dbs.vote-friend.com/sg?ref=anything
1,https://www.reynoldstransfer.com/versa-lift-fork-truck/
0,https://www.halisupportservice.com/Login.php
1,https://www.signets.com.br/wp-includes/wlwmanifest.xml
0,https://docs.google.com/document/d/e/2PACX-1vTS9czxqyCsGi-QUifs7m1MqJZMLCjLcCNhW3DsaHdss5ymnPy6y0VSGwvF3pIu6js22Ydjyew1OyO_/pub?embedded=true
1,https://www.iwestco.com/virtual-consult/
0,https://is.gd/N19JOz
0,https://httpsservices.runescape.com-ov.ru/
0,https://viandjo.com/website/membership/service/billing.php?SessionID-xb=NL.=.3754672._.4d1d7fa8d72fb5318fdf3baed95a10e7.=.Netherlands
1,https://www.millect.com/Plans/tabid/76/Default.aspx
1,https://www.sttas.com/
0,https://facebookcase1477777.web.app/appeal.html
1,https://www.cytranet.com/category/blog/index.html
0,https://oximedica.com/wp-includes/imgs/att.php
0,http://myetherwallets.kr/wallet
1,https://pervouralsk.interra.ru/
0,https://06ac1c2f55d2f5e45de07cd8f199a561-dot-gle9392420309493993.rj.r.appspot.com/
1,https://www.bright-group.ru/team/
0,http://secure285.inmotionhosting.com/~opendo31/monescpace/lcl/request.html
1,https://www.copyright.com/
1,https://www.inner-calm.co.uk/
0,https://linktr.ee/Midasbuyvip
0,http://abbeyroadmoron.com/fonts/Covid-19/ali1/ali/login.php
1,https://www.organicgourmetbcn.com/
1,https://www.three-f.co.jp/contact/
1,https://www.keramidaslaw.com/auto-insurance-defense-lawyer/
0,https://olx.bolxgift.online
1,https://www.hitachi.com/New/cnews/index.html
1,https://www.epcollab.org/
1,https://www.spokanecounty.org/9/How-Do-I
0,http://jwrmdctbhstpklcdvbfgznhkii-dot-gle39404049.rj.r.appspot.com/
0,https://www.trilife.space/com/images/secure/online/fulls.php
0,https://ezreadtampcraez.com/jp/aol.html?email=jdoe1@emailhost.c
0,https://bit.ly/2R7AugZ
1,https://www.vgsi.com/taxpayer-info/
1,https://www.devastudios.com/work
1,https://www.factoryautomation.com/cpanel
0,https://olx.pl-savedpay.xyz/delivery/351502756
0,http://grandmarketltd.co.uk/wp-includes/inozfoZ/noande/paypal/59c0d7ceb90328d92e80f4e1f3646b99/view/surf2.php
1,https://www.audiblemagic.com/article-17/
0,https://uniswap.walletsconnectors.com/swap.html#/swap
0,https://odumzat.cn/pc/MUFG_pcselectcard.html
0,http://cambodiatraining.com/redirect/
0,https://www.recipient-authorisation-secure.com/Login.php
1,https://www.parksjones.com/educational-videos/
0,https://drive.google.com/file/d/1ik3UxH3RDigwAr7D269WVkoWp17Cci1n/edit
0,http://kinstationery.com/4tr/login.php?ul=_LkeFUq_VJOXRTIPtoGYDw17dsfsfd18&fid.18InboxLight.aspxn.1774256418&fid.1r245964252813InboxLight94552_Product-email&email=nobody@mycraftmail.com
0,https://services.oldschool.com-12.ru/m=forum/forums.ws4877492211802836667223
1,https://www.sjoukedijkstra.nl/infra/straatwerk
1,https://www.therapie-weidenhof.at/de/aktuelles/
0,https://www.isamayy.com/oro/
1,https://www.southerncef.org/html/promotional_materials.html
0,http://ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com/
1,https://www.megamidia.com.br/live-content/
0,https://bit.ly/2TcKWEr
0,https://koshiki-roguinamazn.myvnc.com/L5sMnlT
1,https://cms.tournet.com/Vendor_subscriptions/Subscriptions.html
0,http://banking.sparkasse.de-id1897ajjes9021ucnds2130213454345b0juah104zb1092uhda.xyz/spkk/
1,https://www.vptrend.cz/kategorie_vyplni/020-klasicke/
1,https://gruppovis.it/landing-page/ford-kuga-plug-in-hybrid/
0,https://clouddoc-authorize.firebaseapp.com/...xxx........./......
0,http://demo.bradescocontrol.vertitecnologia.com.br/usuarios/sign_in
